市区町村名,免許の年月日,免許人の氏名又は名称,電波の型式(1),周波数(1),空中線電力(1),電波の型式(2),周波数(2),空中線電力(2),電波の型式(3),周波数(3),空中線電力(3),電波の型式(4),周波数(4),空中線電力(4)
奈良市,2020-12-07,楽天モバイル株式会社,99M9X7W,3849.99 MHz,654  mW,,,,,,,,,
奈良市,2020-12-07,楽天モバイル株式会社,100MX7W,27.05004 GHz,663  mW,100MX7W,27.15 GHz,663  mW,100MX7W,27.24996 GHz,663  mW,100MX7W,27.34992 GHz,663  mW
奈良市,2021-02-25,楽天モバイル株式会社,100MX7W,27.05004 GHz,663  mW,100MX7W,27.15 GHz,663  mW,100MX7W,27.24996 GHz,663  mW,100MX7W,27.34992 GHz,663  mW
奈良市,2021-02-25,楽天モバイル株式会社,100MX7W,27.05004 GHz,663  mW,100MX7W,27.15 GHz,663  mW,100MX7W,27.24996 GHz,663  mW,100MX7W,27.34992 GHz,663  mW
奈良市,2021-02-25,楽天モバイル株式会社,99M9X7W,3849.99 MHz,218  mW,,,,,,,,,
奈良市,2021-02-25,楽天モバイル株式会社,100MX7W,27.05004 GHz,221  mW,100MX7W,27.15 GHz,221  mW,100MX7W,27.24996 GHz,221  mW,100MX7W,27.34992 GHz,221  mW
奈良市,2021-02-25,楽天モバイル株式会社,99M9X7W,3849.99 MHz,654  mW,,,,,,,,,
奈良市,2021-02-25,楽天モバイル株式会社,99M9X7W,3849.99 MHz,63.218   W,,,,,,,,,
奈良市,2021-08-20,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
奈良市,2021-08-20,楽天モバイル株式会社,99M9X7W,3849.99 MHz,28.795   W,,,,,,,,,
奈良市,2021-09-17,楽天モバイル株式会社,100MX7W,27.05004 GHz,663  mW,100MX7W,27.15 GHz,663  mW,100MX7W,27.24996 GHz,663  mW,100MX7W,27.34992 GHz,663  mW
奈良市,2021-09-17,楽天モバイル株式会社,100MX7W,27.05004 GHz,663  mW,100MX7W,27.15 GHz,663  mW,100MX7W,27.24996 GHz,663  mW,100MX7W,27.34992 GHz,663  mW
奈良市,2021-09-17,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
奈良市,2021-09-17,楽天モバイル株式会社,99M9X7W,3849.99 MHz,2.187   W,,,,,,,,,
奈良市,2021-09-17,楽天モバイル株式会社,99M9X7W,3849.99 MHz,6.918   W,,,,,,,,,
奈良市,2021-09-17,楽天モバイル株式会社,99M9X7W,3849.99 MHz,91.795   W,,,,,,,,,
奈良市,2021-11-22,楽天モバイル株式会社,100MX7W,27.05004 GHz,663  mW,100MX7W,27.15 GHz,663  mW,100MX7W,27.24996 GHz,663  mW,100MX7W,27.34992 GHz,663  mW
奈良市,2021-11-22,楽天モバイル株式会社,99M9X7W,3849.99 MHz,2.187   W,,,,,,,,,
奈良市,2021-12-08,楽天モバイル株式会社,99M9X7W,3849.99 MHz,21.877   W,,,,,,,,,
奈良市,2021-12-08,楽天モバイル株式会社,100MX7W,27.05004 GHz,663  mW,100MX7W,27.15 GHz,663  mW,100MX7W,27.24996 GHz,663  mW,100MX7W,27.34992 GHz,663  mW
奈良市,2021-12-08,楽天モバイル株式会社,99M9X7W,3849.99 MHz,21.877   W,,,,,,,,,
奈良市,2021-12-13,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
大和高田市,2021-09-17,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
大和高田市,2021-09-17,楽天モバイル株式会社,99M9X7W,3849.99 MHz,6.918   W,,,,,,,,,
大和郡山市,2021-09-17,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
大和郡山市,2021-09-17,楽天モバイル株式会社,100MX7W,27.05004 GHz,663  mW,100MX7W,27.15 GHz,663  mW,100MX7W,27.24996 GHz,663  mW,100MX7W,27.34992 GHz,663  mW
大和郡山市,2021-09-17,楽天モバイル株式会社,99M9X7W,3849.99 MHz,63   W,,,,,,,,,
大和郡山市,2021-09-17,楽天モバイル株式会社,99M9X7W,3849.99 MHz,63   W,,,,,,,,,
大和郡山市,2021-11-22,楽天モバイル株式会社,99M9X7W,3849.99 MHz,691  mW,,,,,,,,,
大和郡山市,2021-11-22,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
大和郡山市,2021-11-22,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
大和郡山市,2021-11-22,楽天モバイル株式会社,99M9X7W,3849.99 MHz,63   W,,,,,,,,,
天理市,2021-09-17,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
天理市,2021-09-17,楽天モバイル株式会社,99M9X7W,3849.99 MHz,6.918   W,,,,,,,,,
天理市,2021-10-27,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
天理市,2021-11-11,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
天理市,2021-11-11,楽天モバイル株式会社,99M9X7W,3849.99 MHz,63   W,,,,,,,,,
天理市,2021-11-11,楽天モバイル株式会社,99M9X7W,3849.99 MHz,189   W,,,,,,,,,
橿原市,2020-11-25,楽天モバイル株式会社,100MX7W,27.05004 GHz,663  mW,100MX7W,27.15 GHz,663  mW,100MX7W,27.24996 GHz,663  mW,100MX7W,27.34992 GHz,663  mW
橿原市,2020-11-25,楽天モバイル株式会社,99M9X7W,3849.99 MHz,654  mW,,,,,,,,,
橿原市,2021-02-08,楽天モバイル株式会社,99M9X7W,3849.99 MHz,654  mW,,,,,,,,,
橿原市,2021-02-08,楽天モバイル株式会社,100MX7W,27.05004 GHz,663  mW,100MX7W,27.15 GHz,663  mW,100MX7W,27.24996 GHz,663  mW,100MX7W,27.34992 GHz,663  mW
橿原市,2021-08-20,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
橿原市,2021-08-20,楽天モバイル株式会社,99M9X7W,3849.99 MHz,218  mW,,,,,,,,,
橿原市,2021-09-17,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
橿原市,2021-09-17,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
橿原市,2021-09-17,楽天モバイル株式会社,99M9X7W,3849.99 MHz,63   W,,,,,,,,,
橿原市,2021-09-17,楽天モバイル株式会社,99M9X7W,3849.99 MHz,63   W,,,,,,,,,
橿原市,2021-10-27,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
橿原市,2021-11-11,楽天モバイル株式会社,99M9X7W,3849.99 MHz,147.877   W,,,,,,,,,
御所市,2021-08-27,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
御所市,2021-08-27,楽天モバイル株式会社,99M9X7W,3849.99 MHz,63   W,,,,,,,,,
御所市,2021-09-08,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
御所市,2021-09-08,楽天モバイル株式会社,99M9X7W,3849.99 MHz,691  mW,,,,,,,,,
生駒市,2021-08-20,楽天モバイル株式会社,100MX7W,27.05004 GHz,663  mW,100MX7W,27.15 GHz,663  mW,100MX7W,27.24996 GHz,663  mW,100MX7W,27.34992 GHz,663  mW
生駒市,2021-08-20,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
生駒市,2021-08-20,楽天モバイル株式会社,99M9X7W,3849.99 MHz,30.982   W,,,,,,,,,
生駒市,2021-08-20,楽天モバイル株式会社,99M9X7W,3849.99 MHz,63   W,,,,,,,,,
生駒市,2021-12-08,楽天モバイル株式会社,100MX7W,27.05004 GHz,663  mW,100MX7W,27.15 GHz,663  mW,100MX7W,27.24996 GHz,663  mW,100MX7W,27.34992 GHz,663  mW
生駒市,2021-12-08,楽天モバイル株式会社,99M9X7W,3849.99 MHz,63   W,,,,,,,,,
生駒市,2021-12-13,楽天モバイル株式会社,100MX7W,27.05004 GHz,663  mW,100MX7W,27.15 GHz,663  mW,100MX7W,27.24996 GHz,663  mW,100MX7W,27.34992 GHz,663  mW
生駒市,2021-12-13,楽天モバイル株式会社,99M9X7W,3849.99 MHz,6.918   W,,,,,,,,,
香芝市,2021-09-13,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
香芝市,2021-09-13,楽天モバイル株式会社,99M9X7W,3849.99 MHz,70.136   W,,,,,,,,,
宇陀市,2021-09-17,楽天モバイル株式会社,100MX7W,27.05004 GHz,663  mW,100MX7W,27.15 GHz,663  mW,100MX7W,27.24996 GHz,663  mW,100MX7W,27.34992 GHz,663  mW
宇陀市,2021-09-17,楽天モバイル株式会社,99M9X7W,3849.99 MHz,63   W,,,,,,,,,
宇陀市,2021-10-27,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
宇陀市,2021-11-11,楽天モバイル株式会社,99M9X7W,3849.99 MHz,147.877   W,,,,,,,,,
三郷町,2021-08-20,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
三郷町,2021-08-20,楽天モバイル株式会社,99M9X7W,3849.99 MHz,21.877   W,,,,,,,,,
田原本町,2021-09-17,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
田原本町,2021-09-17,楽天モバイル株式会社,99M9X7W,3849.99 MHz,63   W,,,,,,,,,
田原本町,2021-11-22,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
田原本町,2021-11-22,楽天モバイル株式会社,99M9X7W,3849.99 MHz,63   W,,,,,,,,,
上牧町,2021-09-17,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
上牧町,2021-09-17,楽天モバイル株式会社,99M9X7W,3849.99 MHz,21.877   W,,,,,,,,,
王寺町,2021-08-20,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
王寺町,2021-08-20,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
王寺町,2021-08-20,楽天モバイル株式会社,99M9X7W,3849.99 MHz,2.187   W,,,,,,,,,
王寺町,2021-08-20,楽天モバイル株式会社,99M9X7W,3849.99 MHz,63   W,,,,,,,,,
王寺町,2021-11-24,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
王寺町,2021-12-08,楽天モバイル株式会社,99M9X7W,3849.99 MHz,63   W,,,,,,,,,
王寺町,2021-12-13,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
王寺町,2021-12-13,楽天モバイル株式会社,99M9X7W,3849.99 MHz,63   W,,,,,,,,,
広陵町,2021-09-08,楽天モバイル株式会社,100MX7W,27.05004 GHz,663  mW,100MX7W,27.15 GHz,663  mW,100MX7W,27.24996 GHz,663  mW,100MX7W,27.34992 GHz,663  mW
広陵町,2021-09-08,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
広陵町,2021-09-08,楽天モバイル株式会社,99M9X7W,3849.99 MHz,6.918   W,,,,,,,,,
広陵町,2021-09-08,楽天モバイル株式会社,99M9X7W,3849.99 MHz,6.918   W,,,,,,,,,
河合町,2021-11-11,楽天モバイル株式会社,100MX7W,27.05004 GHz,663  mW,100MX7W,27.15 GHz,663  mW,100MX7W,27.24996 GHz,663  mW,100MX7W,27.34992 GHz,663  mW
河合町,2021-11-11,楽天モバイル株式会社,99M9X7W,3849.99 MHz,691  mW,,,,,,,,,
大淀町,2021-09-13,楽天モバイル株式会社,100MX7W,27.05004 GHz,663  mW,100MX7W,27.15 GHz,663  mW,100MX7W,27.24996 GHz,663  mW,100MX7W,27.34992 GHz,663  mW
大淀町,2021-09-13,楽天モバイル株式会社,99M9X7W,3849.99 MHz,63   W,,,,,,,,,
大淀町,2021-09-17,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
大淀町,2021-09-17,楽天モバイル株式会社,100MX7W,27.05004 GHz,442  mW,100MX7W,27.15 GHz,442  mW,100MX7W,27.24996 GHz,442  mW,100MX7W,27.34992 GHz,442  mW
大淀町,2021-09-17,楽天モバイル株式会社,99M9X7W,3849.99 MHz,63   W,,,,,,,,,
大淀町,2021-09-17,楽天モバイル株式会社,99M9X7W,3849.99 MHz,126   W,,,,,,,,,
