団体コード,市区町村名,ミリ波,sub6
292010,奈良市,12,12
292028,大和高田市,3,3
292036,大和郡山市,4,4
292044,天理市,3,3
292052,橿原市,6,6
292061,桜井市,3,3
292079,五條市,0,0
292087,御所市,2,2
292095,生駒市,4,4
292109,香芝市,4,4
292117,葛城市,0,0
292125,宇陀市,2,2
293229,山添村,0,0
293423,平群町,2,2
293431,三郷町,4,4
293440,斑鳩町,0,0
293458,安堵町,0,0
293610,川西町,0,0
293628,三宅町,0,0
293636,田原本町,2,2
293857,曽爾村,0,0
293865,御杖村,0,0
294012,高取町,0,0
294021,明日香村,0,0
294241,上牧町,2,2
294250,王寺町,5,5
294268,広陵町,4,4
294276,河合町,2,2
294411,吉野町,0,0
294420,大淀町,3,3
294438,下市町,0,0
294446,黒滝村,0,0
294462,天川村,0,0
294471,野迫川村,0,0
294497,十津川村,0,0
294501,下北山村,0,0
294519,上北山村,0,0
294527,川上村,0,0
294535,東吉野村,0,0
